lamA thr_arm1 thr_arm2 thr_arm3
3500.0 0.0 0.0 0.0
3510.0 0.0 0.0 0.0
3520.0 0.0 0.0 0.0
3530.0 0.0 0.0 0.0
3540.0 0.0 0.0 0.0
3550.0 0.0 0.0 0.0
3560.0 0.0 0.0 0.0
3570.0 0.0 0.0 0.0
3580.0 0.0 0.0 0.0
3590.0 0.0 0.0 0.0
3600.0 0.0 0.0 0.0
3610.0 0.0 0.0 0.0
3620.0 0.0 0.0 0.0
3630.0 0.0 0.0 0.0
3640.0 0.0 0.0 0.0
3650.0 0.0 0.0 0.0
3660.0 0.0 0.0 0.0
3670.0 0.0 0.0 0.0
3680.0 0.0 0.0 0.0
3690.0 0.0 0.0 0.0
3700.0 0.0 0.0 0.0
3710.0 0.0 0.0 0.0
3720.0 0.0 0.0 0.0
3730.0 0.0 0.0 0.0
3740.0 0.0 0.0 0.0
3750.0 0.0 0.0 0.0
3760.0 0.0 0.0 0.0
3770.0 0.0 0.0 0.0
3780.0 0.0 0.0 0.0
3790.0 0.0 0.0 0.0
3800.0 0.0 0.0 0.0
3810.0 0.0 0.0 0.0
3820.0 0.0 0.0 0.0
3830.0 0.0 0.0 0.0
3840.0 0.0 0.0 0.0
3850.0 0.0 0.0 0.0
3860.0 0.0 0.0 0.0
3870.0 0.0 0.0 0.0
3880.0 0.0 0.0 0.0
3890.0 0.0 0.0 0.0
3900.0 0.0 0.0 0.0
3910.0 0.3795021998773007 0.0 0.0
3920.0 0.385502261226994 0.0 0.0
3930.0 0.39150232257668716 0.0 0.0
3940.0 0.3975023839263805 0.0 0.0
3950.0 0.4017305716242481 0.0 0.0
3960.0 0.4053297201665895 0.0 0.0
3970.0 0.4089288687089311 0.0 0.0
3980.0 0.41252801725127264 0.0 0.0
3990.0 0.4161271657936141 0.0 0.0
4000.0 0.4197263143359556 0.0 0.0
4010.0 0.42332546287829714 0.0 0.0
4020.0 0.4269246114206386 0.0 0.0
4030.0 0.4305237599629801 0.0 0.0
4040.0 0.43412290850532165 0.0 0.0
4050.0 0.4377220570476631 0.0 0.0
4060.0 0.4401322836363637 0.0 0.0
4070.0 0.4424571321212121 0.0 0.0
4080.0 0.4447819806060606 0.0 0.0
4090.0 0.44710682909090904 0.0 0.0
4100.0 0.4494316775757575 0.0 0.0
4110.0 0.45175652606060607 0.0 0.0
4120.0 0.45408137454545455 0.0 0.0
4130.0 0.456406223030303 0.0 0.0
4140.0 0.45873107151515147 0.0 0.0
4150.0 0.46105591999999995 0.0 0.0
4160.0 0.4633807684848485 0.0 0.0
4170.0 0.4655430330281023 0.0 0.0
4180.0 0.467443380359962 0.0 0.0
4190.0 0.46934372769182187 0.0 0.0
